Date,VIX,Gold,Oil
2018-12-28,28.34000015258789,1277.25,45.15
2018-12-31,25.420000076293945,,
2019-01-02,23.219999313354492,1287.2,46.31
2019-01-03,25.450000762939453,1287.95,46.92
2019-01-04,21.3799991607666,1290.35,47.76
2019-01-07,21.399999618530273,1291.5,48.27
2019-01-08,20.469999313354492,1283.9,49.58
2019-01-09,19.979999542236328,1281.3,52.19
2019-01-10,19.5,1292.4,52.42
2019-01-11,18.190000534057617,1292.8,51.44
2019-01-14,19.06999969482422,1293.7,50.31
2019-01-15,18.600000381469727,1289.35,51.8
2019-01-16,19.040000915527344,1290.5,52.08
2019-01-17,18.059999465942383,1294.0,51.83
2019-01-18,17.799999237060547,1285.05,53.6
2019-01-22,20.799999237060547,1284.75,52.59
2019-01-23,19.520000457763672,1284.9,
2019-01-24,18.889999389648438,1279.75,
2019-01-25,17.420000076293945,1282.95,
